Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-01-02,177.68,181.58,177.55,181.42,17694891.0,0.0,1.0,177.68,181.58,177.55,181.42,17694891.0
2018-01-03,181.88,184.78,181.33,184.67,16595495.0,0.0,1.0,181.88,184.78,181.33,184.67,16595495.0
2018-01-04,184.9,186.21,184.0996,184.33,13554357.0,0.0,1.0,184.9,186.21,184.0996,184.33,13554357.0
2018-01-05,185.59,186.9,184.93,186.85,13042388.0,0.0,1.0,185.59,186.9,184.93,186.85,13042388.0
2018-01-08,187.2,188.9,186.33,188.28,14719216.0,0.0,1.0,187.2,188.9,186.33,188.28,14719216.0
2018-01-09,188.7,188.8,187.1,187.87,12342722.0,0.0,1.0,188.7,188.8,187.1,187.87,12342722.0
2018-01-10,186.94,187.89,185.63,187.84,10464528.0,0.0,1.0,186.94,187.89,185.63,187.84,10464528.0
2018-01-11,188.4,188.4,187.38,187.77,8855144.0,0.0,1.0,188.4,188.4,187.38,187.77,8855144.0
2018-01-12,178.06,181.48,177.4,179.37,76645626.0,0.0,1.0,178.06,181.48,177.4,179.37,76645626.0
2018-01-16,181.5,181.75,178.04,178.39,35027166.0,0.0,1.0,181.5,181.75,178.04,178.39,35027166.0
2018-01-17,179.26,179.32,175.8,177.6,27356988.0,0.0,1.0,179.26,179.32,175.8,177.6,27356988.0
2018-01-18,178.13,180.98,177.08,179.8,22783759.0,0.0,1.0,178.13,180.98,177.08,179.8,22783759.0
2018-01-19,180.85,182.37,180.1702,181.29,26266081.0,0.0,1.0,180.85,182.37,180.1702,181.29,26266081.0
2018-01-22,180.8,185.39,180.41,185.37,20567285.0,0.0,1.0,180.8,185.39,180.41,185.37,20567285.0
2018-01-23,186.05,189.55,185.55,189.35,24956444.0,0.0,1.0,186.05,189.55,185.55,189.35,24956444.0
2018-01-24,189.89,190.66,186.52,186.55,22992031.0,0.0,1.0,189.89,190.66,186.52,186.55,22992031.0
2018-01-25,187.95,188.62,186.6,187.48,16698537.0,0.0,1.0,187.95,188.62,186.6,187.48,16698537.0
2018-01-26,187.75,190.0,186.81,190.0,16652197.0,0.0,1.0,187.75,190.0,186.81,190.0,16652197.0
2018-01-29,188.75,188.84,185.6301,185.98,20022931.0,0.0,1.0,188.75,188.84,185.6301,185.98,20022931.0
2018-01-30,183.01,188.18,181.84,187.12,20382841.0,0.0,1.0,183.01,188.18,181.84,187.12,20382841.0
2018-01-31,188.37,189.83,185.22,186.89,27299152.0,0.0,1.0,188.37,189.83,185.22,186.89,27299152.0
2018-02-01,188.22,195.32,187.89,193.09,53608910.0,0.0,1.0,188.22,195.32,187.89,193.09,53608910.0
2018-02-02,192.04,194.21,189.98,190.28,25514560.0,0.0,1.0,192.04,194.21,189.98,190.28,25514560.0
2018-02-05,186.93,190.61,180.61,182.65,29852293.0,0.0,1.0,186.93,190.61,180.61,182.65,29852293.0
2018-02-06,178.57,185.77,177.74,185.31,36829710.0,0.0,1.0,178.57,185.77,177.74,185.31,36829710.0
2018-02-07,184.15,185.0817,179.95,180.18,26891282.0,0.0,1.0,184.15,185.0817,179.95,180.18,26891282.0
2018-02-08,181.01,181.84,171.4815,171.5499,35672214.0,0.0,1.0,181.01,181.84,171.4815,171.5499,35672214.0
2018-02-09,174.76,176.9,167.18,175.98,37214470.0,0.0,1.0,174.76,176.9,167.18,175.98,37214470.0
2018-02-12,177.06,177.545,171.84,176.41,31697374.0,0.0,1.0,177.06,177.545,171.84,176.41,31697374.0
2018-02-13,175.62,175.97,173.1,173.15,20880702.0,0.0,1.0,175.62,175.97,173.1,173.15,20880702.0
2018-02-14,173.45,179.81,173.2119,179.52,27963758.0,0.0,1.0,173.45,179.81,173.2119,179.52,27963758.0
2018-02-15,180.5,180.5,176.84,179.96,20554092.0,0.0,1.0,180.5,180.5,176.84,179.96,20554092.0
2018-02-16,178.99,179.88,176.3,177.36,20475445.0,0.0,1.0,178.99,179.88,176.3,177.36,20475445.0
2018-02-20,175.77,177.95,175.11,176.01,20887317.0,0.0,1.0,175.77,177.95,175.11,176.01,20887317.0
2018-02-21,176.71,181.27,176.4,177.91,22844006.0,0.0,1.0,176.71,181.27,176.4,177.91,22844006.0
2018-02-22,178.7,180.21,177.41,178.99,17085490.0,0.0,1.0,178.7,180.21,177.41,178.99,17085490.0
2018-02-23,179.9,183.39,179.51,183.29,18621950.0,0.0,1.0,179.9,183.39,179.51,183.29,18621950.0
2018-02-26,184.58,185.66,183.2228,184.93,17418814.0,0.0,1.0,184.58,185.66,183.2228,184.93,17418814.0
2018-02-27,184.45,184.7,181.46,181.46,15649326.0,0.0,1.0,184.45,184.7,181.46,181.46,15649326.0
2018-02-28,182.3,182.88,178.14,178.32,18208084.0,0.0,1.0,182.3,182.88,178.14,178.32,18208084.0
2018-03-01,179.01,180.12,174.41,175.94,23201626.0,0.0,1.0,179.01,180.12,174.41,175.94,23201626.0
2018-03-02,173.29,177.11,172.99,176.62,20025905.0,0.0,1.0,173.29,177.11,172.99,176.62,20025905.0
2018-03-05,176.2,181.1475,175.89,180.4,16189280.0,0.0,1.0,176.2,181.1475,175.89,180.4,16189280.0
2018-03-06,181.78,182.38,179.11,179.78,15086784.0,0.0,1.0,181.78,182.38,179.11,179.78,15086784.0
2018-03-07,178.74,183.82,178.07,183.71,19097293.0,0.0,1.0,178.74,183.82,178.07,183.71,19097293.0
2018-03-08,183.56,184.4,181.45,182.34,15336555.0,0.0,1.0,183.56,184.4,181.45,182.34,15336555.0
2018-03-09,183.91,185.51,183.21,185.23,17952177.0,0.0,1.0,183.91,185.51,183.21,185.23,17952177.0
2018-03-12,185.23,186.1,184.22,184.76,14873538.0,0.0,1.0,185.23,186.1,184.22,184.76,14873538.0
2018-03-13,185.61,185.99,181.11,181.88,17742312.0,0.0,1.0,185.61,185.99,181.11,181.88,17742312.0
2018-03-14,182.6,184.25,181.85,184.19,16426843.0,0.0,1.0,182.6,184.25,181.85,184.19,16426843.0
2018-03-15,183.24,184.0,182.19,183.86,15461869.0,0.0,1.0,183.24,184.0,182.19,183.86,15461869.0
2018-03-16,184.49,185.33,183.41,185.09,23090480.0,0.0,1.0,184.49,185.33,183.41,185.09,23090480.0
2018-03-19,177.01,177.17,170.06,172.56,86897749.0,0.0,1.0,177.01,177.17,170.06,172.56,86897749.0
2018-03-20,167.47,170.2,161.95,168.15,128925534.0,0.0,1.0,167.47,170.2,161.95,168.15,128925534.0
2018-03-21,164.8,173.4,163.3,169.39,105350867.0,0.0,1.0,164.8,173.4,163.3,169.39,105350867.0
2018-03-22,166.13,170.27,163.72,164.89,73389988.0,0.0,1.0,166.13,170.27,163.72,164.89,73389988.0
2018-03-23,165.44,167.1,159.02,159.39,52306891.0,0.0,1.0,165.44,167.1,159.02,159.39,52306891.0
2018-03-26,160.82,161.1,149.02,160.06,125438294.0,0.0,1.0,160.82,161.1,149.02,160.06,125438294.0
2018-03-27,156.31,162.85,150.75,152.19,76787884.0,0.0,1.0,156.31,162.85,150.75,152.19,76787884.0
