Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-01-02,1053.02,1075.98,1053.02,1073.21,1555809.0,0.0,1.0,1053.02,1075.98,1053.02,1073.21,1555809.0
2018-01-03,1073.93,1096.1,1073.43,1091.52,1550593.0,0.0,1.0,1073.93,1096.1,1073.43,1091.52,1550593.0
2018-01-04,1097.09,1104.08,1094.26,1095.76,1289293.0,0.0,1.0,1097.09,1104.08,1094.26,1095.76,1289293.0
2018-01-05,1103.45,1113.58,1101.8,1110.29,1493389.0,0.0,1.0,1103.45,1113.58,1101.8,1110.29,1493389.0
2018-01-08,1111.0,1119.16,1110.0,1114.21,1148958.0,0.0,1.0,1111.0,1119.16,1110.0,1114.21,1148958.0
2018-01-09,1118.44,1118.44,1108.2,1112.79,1335995.0,0.0,1.0,1118.44,1118.44,1108.2,1112.79,1335995.0
2018-01-10,1107.0,1112.78,1103.98,1110.14,1027781.0,0.0,1.0,1107.0,1112.78,1103.98,1110.14,1027781.0
2018-01-11,1112.31,1114.85,1106.48,1111.88,1102461.0,0.0,1.0,1112.31,1114.85,1106.48,1111.88,1102461.0
2018-01-12,1110.1,1131.3,1108.01,1130.65,1914460.0,0.0,1.0,1110.1,1131.3,1108.01,1130.65,1914460.0
2018-01-16,1140.31,1148.88,1126.66,1130.7,1783881.0,0.0,1.0,1140.31,1148.88,1126.66,1130.7,1783881.0
2018-01-17,1136.36,1139.32,1123.49,1139.1,1353097.0,0.0,1.0,1136.36,1139.32,1123.49,1139.1,1353097.0
2018-01-18,1139.35,1140.59,1124.46,1135.97,1333633.0,0.0,1.0,1139.35,1140.59,1124.46,1135.97,1333633.0
2018-01-19,1138.03,1143.78,1132.5,1143.5,1418376.0,0.0,1.0,1138.03,1143.78,1132.5,1143.5,1418376.0
2018-01-22,1143.82,1166.88,1141.82,1164.16,1437954.0,0.0,1.0,1143.82,1166.88,1141.82,1164.16,1437954.0
2018-01-23,1170.62,1178.51,1167.25,1176.17,1832126.0,0.0,1.0,1170.62,1178.51,1167.25,1176.17,1832126.0
2018-01-24,1184.98,1187.05,1167.4,1171.29,1818182.0,0.0,1.0,1184.98,1187.05,1167.4,1171.29,1818182.0
2018-01-25,1180.71,1185.0,1171.84,1182.14,1398961.0,0.0,1.0,1180.71,1185.0,1171.84,1182.14,1398961.0
2018-01-26,1187.53,1187.56,1168.03,1187.56,1981476.0,0.0,1.0,1187.53,1187.56,1168.03,1187.56,1981476.0
2018-01-29,1188.0,1198.0,1184.06,1186.48,1533931.0,0.0,1.0,1188.0,1198.0,1184.06,1186.48,1533931.0
2018-01-30,1177.72,1187.93,1174.51,1177.37,1792602.0,0.0,1.0,1177.72,1187.93,1174.51,1177.37,1792602.0
2018-01-31,1183.81,1186.32,1172.1,1182.22,1643877.0,0.0,1.0,1183.81,1186.32,1172.1,1182.22,1643877.0
2018-02-01,1175.99,1187.45,1169.36,1181.59,2774967.0,0.0,1.0,1175.99,1187.45,1169.36,1181.59,2774967.0
